id,evolved_species_id,evolution_trigger_id,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,known_move_type_id,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species_id,party_type_id,trade_species_id,needs_overworld_rain,turn_upside_down
1,2,1,,16,,,,,,,,,,,,,,0,0
2,3,1,,32,,,,,,,,,,,,,,0,0
4,5,1,,16,,,,,,,,,,,,,,0,0
5,6,1,,36,,,,,,,,,,,,,,0,0
7,8,1,,16,,,,,,,,,,,,,,0,0
8,9,1,,36,,,,,,,,,,,,,,0,0
10,11,1,,7,,,,,,,,,,,,,,0,0
11,12,1,,10,,,,,,,,,,,,,,0,0
13,14,1,,7,,,,,,,,,,,,,,0,0
14,15,1,,10,,,,,,,,,,,,,,0,0
16,17,1,,18,,,,,,,,,,,,,,0,0
17,18,1,,36,,,,,,,,,,,,,,0,0
19,20,1,,20,,,,,,,,,,,,,,0,0
21,22,1,,20,,,,,,,,,,,,,,0,0
23,24,1,,22,,,,,,,,,,,,,,0,0
172,25,5,,,,,,,,,220,,,,,,,0,0
25,26,3,83,,,,,,,,,,,,,,,0,0
27,28,1,,22,,,,,,,,,,,,,,0,0
29,30,1,,16,,,,,,,,,,,,,,0,0
30,31,3,81,,,,,,,,,,,,,,,0,0
32,33,1,,16,,,,,,,,,,,,,,0,0
33,34,3,81,,,,,,,,,,,,,,,0,0
173,35,5,,,,,,,,,220,,,,,,,0,0
35,36,3,81,,,,,,,,,,,,,,,0,0
37,38,3,82,,,,,,,,,,,,,,,0,0
174,39,5,,,,,,,,,220,,,,,,,0,0
39,40,3,81,,,,,,,,,,,,,,,0,0
41,42,1,,22,,,,,,,,,,,,,,0,0
43,44,1,,21,,,,,,,,,,,,,,0,0
44,45,3,85,,,,,,,,,,,,,,,0,0
46,47,1,,24,,,,,,,,,,,,,,0,0
48,49,1,,31,,,,,,,,,,,,,,0,0
50,51,1,,26,,,,,,,,,,,,,,0,0
52,53,1,,28,,,,,,,,,,,,,,0,0
54,55,1,,33,,,,,,,,,,,,,,0,0
56,57,1,,28,,,,,,,,,,,,,,0,0
58,59,3,82,,,,,,,,,,,,,,,0,0
60,61,1,,25,,,,,,,,,,,,,,0,0
61,62,3,84,,,,,,,,,,,,,,,0,0
63,64,1,,16,,,,,,,,,,,,,,0,0
64,65,2,,,,,,,,,,,,,,,,0,0
66,67,1,,28,,,,,,,,,,,,,,0,0
67,68,2,,,,,,,,,,,,,,,,0,0
69,70,1,,21,,,,,,,,,,,,,,0,0
70,71,3,85,,,,,,,,,,,,,,,0,0
72,73,1,,30,,,,,,,,,,,,,,0,0
74,75,1,,25,,,,,,,,,,,,,,0,0
75,76,2,,,,,,,,,,,,,,,,0,0
77,78,1,,40,,,,,,,,,,,,,,0,0
79,80,1,,37,,,,,,,,,,,,,,0,0
81,82,1,,30,,,,,,,,,,,,,,0,0
84,85,1,,31,,,,,,,,,,,,,,0,0
86,87,1,,34,,,,,,,,,,,,,,0,0
88,89,1,,38,,,,,,,,,,,,,,0,0
90,91,3,84,,,,,,,,,,,,,,,0,0
92,93,1,,25,,,,,,,,,,,,,,0,0
93,94,2,,,,,,,,,,,,,,,,0,0
96,97,1,,26,,,,,,,,,,,,,,0,0
98,99,1,,28,,,,,,,,,,,,,,0,0
100,101,1,,30,,,,,,,,,,,,,,0,0
102,103,3,85,,,,,,,,,,,,,,,0,0
104,105,1,,28,,,,,,,,,,,,,,0,0
236,106,1,,20,,,,,,,,,,1,,,,0,0
236,107,1,,20,,,,,,,,,,-1,,,,0,0
109,110,1,,35,,,,,,,,,,,,,,0,0
11,112,1,,42,,,,,,,,,,,,,,0,0
440,113,8,,,,,110,day,,,,,,,,,,0,0
116,117,1,,32,,,,,,,,,,,,,,0,0
118,119,1,,33,,,,,,,,,,,,,,0,0
120,121,3,84,,,,,,,,,,,,,,,0,0
439,122,8,,,,,,,102,,,,,,,,,0,0
238,124,1,,30,,,,,,,,,,,,,,0,0
239,125,1,,30,,,,,,,,,,,,,,0,0
240,126,1,,30,,,,,,,,,,,,,,0,0
129,130,1,,20,,,,,,,,,,,,,,0,0
133,134,3,84,,,,,,,,,,,,,,,0,0
133,135,3,83,,,,,,,,,,,,,,,0,0
133,136,3,82,,,,,,,,,,,,,,,0,0
138,139,1,,40,,,,,,,,,,,,,,0,0
140,141,1,,40,,,,,,,,,,,,,,0,0
446,143,5,,,,,,,,,220,,,,,,,0,0
147,148,1,,30,,,,,,,,,,,,,,0,0
148,149,1,,55,,,,,,,,,,,,,,0,0
152,153,1,,16,,,,,,,,,,,,,,0,0
153,154,1,,32,,,,,,,,,,,,,,0,0
155,156,1,,14,,,,,,,,,,,,,,0,0
156,157,1,,36,,,,,,,,,,,,,,0,0
158,159,1,,18,,,,,,,,,,,,,,0,0
159,160,1,,30,,,,,,,,,,,,,,0,0
161,162,1,,15,,,,,,,,,,,,,,0,0
163,164,1,,20,,,,,,,,,,,,,,0,0
165,166,1,,18,,,,,,,,,,,,,,0,0
167,168,1,,22,,,,,,,,,,,,,,0,0
42,169,5,,,,,,,,,220,,,,,,,0,0
170,171,1,,27,,,,,,,,,,,,,,0,0
175,176,5,,,,,,,,,220,,,,,,,0,0
177,178,1,,25,,,,,,,,,,,,,,0,0
179,180,1,,15,,,,,,,,,,,,,,0,0
180,181,1,,30,,,,,,,,,,,,,,0,0
44,182,3,80,,,,,,,,,,,,,,,0,0
298,183,5,,,,,,,,,220,,,,,,,0,0
183,184,1,,18,,,,,,,,,,,,,,0,0
438,185,8,,,,,,,102,,,,,,,,,0,0
61,186,2,,,,,198,,,,,,,,,,,0,0
187,188,1,,18,,,,,,,,,,,,,,0,0
188,189,1,,27,,,,,,,,,,,,,,0,0
191,192,3,80,,,,,,,,,,,,,,,0,0
194,195,1,,20,,,,,,,,,,,,,,0,0
133,196,5,,,,,,day,,,220,,,,,,,0,0
133,197,5,,,,,,night,,,220,,,,,,,0,0
79,199,2,,,,,198,,,,,,,,,,,0,0
360,202,1,,15,,,,,,,,,,,,,,0,0
204,205,1,,31,,,,,,,,,,,,,,0,0
95,208,2,,,,,210,,,,,,,,,,,0,0
209,210,1,,23,,,,,,,,,,,,,,0,0
123,212,2,,,,,210,,,,,,,,,,,0,0
216,217,1,,30,,,,,,,,,,,,,,0,0
218,219,1,,38,,,,,,,,,,,,,,0,0
220,221,1,,33,,,,,,,,,,,,,,0,0
223,224,1,,25,,,,,,,,,,,,,,0,0
458,226,8,,,,,,,,,,,,,223,,,0,0
228,229,1,,24,,,,,,,,,,,,,,0,0
117,230,2,,,,,212,,,,,,,,,,,0,0
231,232,1,,25,,,,,,,,,,,,,,0,0
137,233,2,,,,,229,,,,,,,,,,,0,0
236,237,1,,20,,,,,,,,,,0,,,,0,0
113,242,5,,,,,,,,,220,,,,,,,0,0
246,247,1,,30,,,,,,,,,,,,,,0,0
247,248,1,,55,,,,,,,,,,,,,,0,0
252,253,1,,16,,,,,,,,,,,,,,0,0
253,254,1,,36,,,,,,,,,,,,,,0,0
255,256,1,,16,,,,,,,,,,,,,,0,0
256,257,1,,36,,,,,,,,,,,,,,0,0
258,259,1,,16,,,,,,,,,,,,,,0,0
259,260,1,,36,,,,,,,,,,,,,,0,0
261,262,1,,18,,,,,,,,,,,,,,0,0
263,264,1,,20,,,,,,,,,,,,,,0,0
265,266,1,,7,,,,,,,,,,,,,,0,0
266,267,1,,10,,,,,,,,,,,,,,0,0
265,268,1,,7,,,,,,,,,,,,,,0,0
268,269,1,,10,,,,,,,,,,,,,,0,0
270,271,1,,14,,,,,,,,,,,,,,0,0
271,272,3,84,,,,,,,,,,,,,,,0,0
273,274,1,,14,,,,,,,,,,,,,,0,0
274,275,3,85,,,,,,,,,,,,,,,0,0
